"species","family","n_records","n_locations","year_range"
"Microtus gregalis","Cricetidae",4,3,"1912 - 2016"
"Myodes centralis","Cricetidae",4,1,"2016 - 2016"
"Myodes sp.","Cricetidae",4,2,"1960 - 1960"
"Myospalax myospalax","Spalacidae",4,4,"1926 - 2025"
"Propalaeocastor kumbulakensis","Castoridae",4,2,"Inf - -Inf"
"Spermophilus major","Sciuridae",4,4,"1957 - 2022"
"Spermophilus relictus","Sciuridae",4,3,"2018 - 2025"
"Zhungaromys gromovi","Cricetidae",4,1,"Inf - -Inf"
"Alticola macrotis","Cricetidae",3,1,"2005 - 2005"
"Alticola sp.","Cricetidae",3,3,"1979 - 1979"
"Argyromys aralensis","Muridae",3,2,"Inf - -Inf"
"Asiacastor sp.","Castoridae",3,3,"Inf - -Inf"
"Capacikala sajakensis","Castoridae",3,2,"Inf - -Inf"
"Eucricetodon occasionalis","Muridae",3,1,"Inf - -Inf"
"Eumyarion tremulus","Muridae",3,2,"Inf - -Inf"
"Jaculus sp.","Dipodidae",3,3,"1927 - 1928"
"Mimomys sp.","Muridae",3,3,"Inf - -Inf"
"Myodes rutilus","Cricetidae",3,2,"2002 - 2016"
"Nothocricetulus sp.","Cricetidae",3,3,"2024 - 2024"
"Pappocricetodon kazakstanicus","Muridae",3,1,"Inf - -Inf"
"Pygeretmus sp.","Dipodidae",3,3,"1928 - 1928"
"Salpingotus crassicauda","Dipodidae",3,3,"1961 - 1970"
"Steneofiber sp.","Castoridae",3,3,"Inf - -Inf"
"Tachyoryctoides obrutschewi","Muridae",3,3,"Inf - -Inf"
"Villanyia sp.","Muridae",3,3,"Inf - -Inf"
"Yindirtemys birgeri","Ctenodactylidae",3,3,"Inf - -Inf"
"Advenimus bohlini","Ctenodactylidae",2,1,"Inf - -Inf"
"Allactaga severtzovi","Dipodidae",2,1,"2016 - 2016"
"Allactaga sp.","Dipodidae",2,2,"Inf - -Inf"
"Alticola roylei","Cricetidae",2,2,"1938 - 1960"
"Apodemus sylvaticus","Muridae",2,2,"1929 - 1979"
"Aralocricetodon schokensis","Muridae",2,1,"Inf - -Inf"
"Castor peninsulatus","Castoridae",2,2,"Inf - -Inf"
"Eomyodon bolligeri","Eomyidae",2,1,"Inf - -Inf"
"Eucricetodon caducus","Muridae",2,2,"Inf - -Inf"
"Eucricetodon sp.","Muridae",2,2,"Inf - -Inf"
"Microtus socialis","Cricetidae",2,2,"2016 - 2016"
"Myospalax sp.","Spalacidae",2,2,"1956 - 1956"
"Parasminthus debruijni","Dipodidae",2,1,"Inf - -Inf"
"Phodopus sp.","Cricetidae",2,2,"1911 - 1911"
"Pseudotheridomys yanshini","Eomyidae",2,1,"Inf - -Inf"
"Tataromys sigmodon","Ctenodactylidae",2,1,"Inf - -Inf"
"Tsaganomys sp.","Tsaganomyidae",2,2,"Inf - -Inf"
"Yindirtemys sajakensis","Ctenodactylidae",2,2,"Inf - -Inf"
" sp.","Hystricidae",1,1,"Inf - -Inf"
" sp.","Muridae",1,1,"Inf - -Inf"
" sp.","Unknown",1,1,"Inf - -Inf"
"Abrosomys agasma","Ischyromyidae",1,1,"Inf - -Inf"
"Agnotocastor sp.","Castoridae",1,1,"Inf - -Inf"
"Aktaumys dzhungaricus","Cricetidae",1,1,"Inf - -Inf"
"Allophaiomys pliocaenicus","Cricetidae",1,1,"Inf - -Inf"
"Alticola strelzowi","Cricetidae",1,1,"2016 - 2016"
"Ansomys crucifer","Aplodontiidae",1,1,"Inf - -Inf"
"Aralomys glikmani","Muridae",1,1,"Inf - -Inf"
"Argyromys sp.","Muridae",1,1,"Inf - -Inf"
"Arvicola pliocaenicus","Muridae",1,1,"Inf - -Inf"
"Blentosomys dasikerkos","Dipodidae",1,1,"Inf - -Inf"
"Bohlinosminthus cubitalus","Dipodidae",1,1,"Inf - -Inf"
"Bolosomys brachybamon","Chapattimyidae",1,1,"Inf - -Inf"
"Cardiocranius paradoxus","Dipodidae",1,1,"2016 - 2016"
"Chkhikvadzomys elpisma","Chapattimyidae",1,1,"Inf - -Inf"
"Cricetops sp.","Muridae",1,1,"Inf - -Inf"
"Cricetulus sp.","Cricetidae",1,1,"Inf - -Inf"
"Dryomys sp.","Gliridae",1,1,"Inf - -Inf"
"Eremodipus lichtensteini","Dipodidae",1,1,"2016 - 2016"
"Eumyarion sp.","Muridae",1,1,"Inf - -Inf"
"Eumys asiaticus","Muridae",1,1,"Inf - -Inf"
"Geitonomys bouvites","Chapattimyidae",1,1,"Inf - -Inf"
"Heterosminthus firmus","Dipodidae",1,1,"Inf - -Inf"
"Karydomys dzerzhinskii","Cricetidae",1,1,"Inf - -Inf"
"Lasiopodomys gregalis","Cricetidae",1,1,"1924 - 1924"
"Marmota menzbieri","Sciuridae",1,1,"1923 - 1923"
"Micromys minutus","Muridae",1,1,"2016 - 2016"
"Microtus ilaeus","Cricetidae",1,1,"2023 - 2023"
"Microtus transcaspicus","Cricetidae",1,1,"1949 - 1949"
"Myocastor coypus","Myocastoridae",1,1,"2025 - 2025"
"Myodes rufocanus","Cricetidae",1,1,"1927 - 1927"
"Myopus schisticolor","Cricetidae",1,1,"1969 - 1969"
"Palaeocastor sp.","Castoridae",1,1,"Inf - -Inf"
"Palaeosciurus sp.","Sciuridae",1,1,"Inf - -Inf"
"Paramys obailensis","Ischyromyidae",1,1,"Inf - -Inf"
"Petrokozlovia sp.","Yuomyidae",1,1,"Inf - -Inf"
"Plesiosminthus sp.","Dipodidae",1,1,"Inf - -Inf"
"Plesiosminthus tereskentensis","Dipodidae",1,1,"Inf - -Inf"
"Propalaeocastor shevyrevae","Castoridae",1,1,"Inf - -Inf"
"Prosciurus daxnerae","Aplodontiidae",1,1,"Inf - -Inf"
"Prosciurus sp.","Allomyidae",1,1,"Inf - -Inf"
"Pygeretmus platyurus","Dipodidae",1,1,"1968 - 1968"
"Sayimys sp.","Ctenodactylidae",1,1,"Inf - -Inf"
"Sicista napaea","Dipodidae",1,1,"1915 - 1915"
"Sicista sp.","Dipodidae",1,1,"2024 - 2024"
"Sinosminthus sp.","Dipodidae",1,1,"Inf - -Inf"
"Spermophilus ralli","Sciuridae",1,1,"2024 - 2024"
"Steneofiber depereti","Castoridae",1,1,"Inf - -Inf"
"Tamquammys tantillus","Chapattimyidae",1,1,"Inf - -Inf"
"Trogontherium sp.","Castoridae",1,1,"Inf - -Inf"
"Ulkenulastomys abrotos","Dipodidae",1,1,"Inf - -Inf"
