"species_clean","order_clean","family_clean","n_records","n_georeferenced","n_locations","year_range","latest_year","n_provinces","countries","in_focal","percent_records","cumulative_percent","note"
"Lepus europaeus","Lagomorpha","Leporidae",78,78,49,"1914 - 2026",2026,13,"KZ, UZ",TRUE,1.04,73.7,""
"Ellobius talpinus","Rodentia","Cricetidae",73,59,19,"1889 - 2026",2026,12,"KG, KZ, TM, UZ",TRUE,0.97,74.7,""
"Meriones tamariscinus","Rodentia","Muridae",73,16,8,"1878 - 2025",2025,10,"KG, KZ, UZ",TRUE,0.97,75.7,""
"Dipus sagitta","Rodentia","Dipodidae",71,26,18,"1892 - 2026",2026,12,"KG, KZ, TM, UZ",TRUE,0.95,76.6,""
"Spermophilopsis leptodactylus","Rodentia","Sciuridae",61,49,44,"1894 - 2026",2026,14,"KZ, TJ, TM, UZ",TRUE,0.81,77.4,""
"Apodemus pallipes","Rodentia","Muridae",57,48,1,"1907 - 1984",1984,3,"KG, TJ, UZ",FALSE,0.76,78.2,""
"Microtus ilaeus","Rodentia","Cricetidae",54,22,8,"1911 - 2023",2023,5,"KG, KZ",TRUE,0.72,78.9,""
"Microtus sp.","Rodentia","Cricetidae",52,47,22,"1879 - 2016",2016,9,"KG, KZ, TJ, UZ",TRUE,0.69,79.6,""
"Ellobius alaicus","Rodentia","Cricetidae",51,43,17,"1983 - 2018",2018,1,"KG, TJ",FALSE,0.68,80.3,""
"Alticola argentatus","Rodentia","Cricetidae",48,20,6,"1904 - 2006",2006,5,"KG, KZ, TJ, TM, UZ",TRUE,0.64,80.9,""
"Lepus timidus","Lagomorpha","Leporidae",48,47,20,"1924 - 2026",2026,10,"KZ",TRUE,0.64,81.6,""
"Microtus gregalis","Rodentia","Cricetidae",47,20,10,"1912 - 2016",2016,8,"KG, KZ",TRUE,0.63,82.2,""
"Hystrix indica","Rodentia","Hystricidae",41,37,32,"2016 - 2026",2026,12,"KG, KZ, TJ, TM, UZ",TRUE,0.55,82.7,""
"Myodes sp.","Rodentia","Cricetidae",41,35,4,"1960 - 2009",2009,4,"KG, KZ, TJ",TRUE,0.55,83.3,""
"Meriones sp.","Rodentia","Muridae",39,37,12,"1989 - 2022",2022,6,"KG, KZ, TM, UZ",TRUE,0.52,83.8,""
"Nesokia indica","Rodentia","Muridae",38,15,7,"1927 - 1989",1989,5,"TJ, TM, UZ",FALSE,0.51,84.3,""
"Stylodipus telum","Rodentia","Dipodidae",37,17,12,"1838 - 2016",2016,7,"KG, KZ",TRUE,0.49,84.8,""
"Pygeretmus pumilio","Rodentia","Dipodidae",36,19,10,"1839 - 2016",2016,8,"KZ, TM, UZ",TRUE,0.48,85.3,""
"Sicista tianshanica","Rodentia","Dipodidae",36,34,23,"1938 - 1986",1986,2,"KG, KZ",TRUE,0.48,85.8,""
"Allactaga major","Rodentia","Dipodidae",34,23,20,"1928 - 2026",2026,12,"KG, KZ, TJ, TM",TRUE,0.45,86.2,""
"Dryomys nitedula","Rodentia","Gliridae",34,13,11,"1938 - 2026",2026,8,"KG, KZ, TJ, TM",TRUE,0.45,86.7,""
"Spermophilus pygmaeus","Rodentia","Sciuridae",32,27,22,"1929 - 2025",2025,6,"KZ",TRUE,0.43,87.1,""
"Spermophilus relictus","Rodentia","Sciuridae",28,21,14,"1925 - 2026",2026,9,"KG, KZ, UZ",TRUE,0.37,87.5,""
