species,genus,family,zoonotic_priority,body_mass_category,n_records,rank,cumulative_prop
Microtus gregalis,Microtus,Cricetidae,HIGH - Hantavirus,Small (20-50g),2,73,0.9701401584399756
Microtus socialis,Microtus,Cricetidae,HIGH - Hantavirus,Small (20-50g),2,74,0.9713589274832419
Parasminthus debruijni,Parasminthus,Dipodidae,LOW,Unknown,2,75,0.9725776965265083
Pseudotheridomys yanshini,Pseudotheridomys,Eomyidae,LOW,Unknown,2,76,0.9737964655697745
Tataromys sigmodon,Tataromys,Ctenodactylidae,LOW,Unknown,2,77,0.9750152346130408
Yindirtemys sajakensis,Yindirtemys,Ctenodactylidae,LOW,Unknown,2,78,0.9762340036563071
,,,LOW,Unknown,1,79,0.9768433881779403
,,Allomyidae,LOW,Unknown,1,80,0.9774527726995734
,,Ctenodactylidae,LOW,Unknown,1,81,0.9780621572212066
,,Gliridae,LOW,Unknown,1,82,0.9786715417428398
,,Hystricidae,LOW,Unknown,1,83,0.9792809262644728
,,Yuomyidae,LOW,Unknown,1,84,0.979890310786106
Abrosomys agasma,Abrosomys,Ischyromyidae,LOW,Unknown,1,85,0.9804996953077392
Aktaumys dzhungaricus,Aktaumys,Cricetidae,LOW,Unknown,1,86,0.9811090798293723
Allophaiomys pliocaenicus,Allophaiomys,Cricetidae,LOW,Unknown,1,87,0.9817184643510055
Alticola roylei,Alticola,Cricetidae,LOW,Unknown,1,88,0.9823278488726387
Alticola strelzowi,Alticola,Cricetidae,LOW,Unknown,1,89,0.9829372333942717
Ansomys crucifer,Ansomys,Aplodontiidae,LOW,Unknown,1,90,0.9835466179159049
Apodemus sylvaticus,Apodemus,Muridae,HIGH - Multi-pathogen,Small (20-50g),1,91,0.9841560024375381
Aralomys glikmani,Aralomys,Muridae,LOW,Unknown,1,92,0.9847653869591713
Arvicola pliocaenicus,Arvicola,Muridae,LOW,Unknown,1,93,0.9853747714808044
Blentosomys dasikerkos,Blentosomys,Dipodidae,LOW,Unknown,1,94,0.9859841560024375
Bohlinosminthus cubitalus,Bohlinosminthus,Dipodidae,LOW,Unknown,1,95,0.9865935405240707
Bolosomys brachybamon,Bolosomys,Chapattimyidae,LOW,Unknown,1,96,0.9872029250457038
Cardiocranius paradoxus,Cardiocranius,Dipodidae,LOW,Unknown,1,97,0.987812309567337
Chkhikvadzomys elpisma,Chkhikvadzomys,Chapattimyidae,LOW,Unknown,1,98,0.9884216940889702
Eremodipus lichtensteini,Eremodipus,Dipodidae,LOW,Unknown,1,99,0.9890310786106032
